InvestorLoanIdentifier,EscrowItemSequence,EscrowIndicator,EscrowBalanceAmount,EscrowItemType,EscrowItemTypeOtherDescription,EscrowMonthlyPaymentAmount
4033543962,1,true,2920.83,Other,HomeownersInsurance,167.14
4033543962,2,true,2920.83,MortgageInsurance,,70.63
4033543962,3,true,2920.83,CountyPropertyTax,,806.47
4033544328,1,true,416.95,Other,HomeownersInsurance,96.22
4033544328,2,true,416.95,CountyPropertyTax,,320.73
4033544854,,false,,,,
4033547153,,false,,,,
4033548519,1,true,4150.63,HazardInsurance,,168.17
4033548519,2,true,4150.63,CountyPropertyTax,,995.62
4033548677,1,true,2157.74,HazardInsurance,,161.66
4033548677,2,true,2157.74,CountyPropertyTax,,499.02
4033549305,1,true,1031.24,Other,HomeownersInsurance,60.09
4033549305,2,true,1031.24,MortgageInsurance,,189.62
4033549305,3,true,1031.24,CountyPropertyTax,,197.72
